** WARNING: connection is not using a post-quantum key exchange algorithm.
** This session may be vulnerable to "store now, decrypt later" attacks.
** The server may need to be upgraded. See https://openssh.com/pq.html
r8169 0000:01:00.0 eno2: Link is Up - 100Mbps/Full - flow control rx/tx
IPv6: ADDRCONF(NETDEV_CHANGE): eno2: link becomes ready
andrea_mind_core: loading out-of-tree module taints kernel.
andrea_mind_core: caricamento, CPU target=3
andrea_mind_core: thread avviato su CPU 3
andrea_mind_core: 100 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 200 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 300 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 400 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 500 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 600 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 700 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 800 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 900 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1000 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1100 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1200 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1300 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1400 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1500 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1600 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1700 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1800 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 1900 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 2000 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 2100 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 2200 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 2300 blocchi FP completati, acc=9992459 (x1000)
andrea_mind_core: 2400 blocchi FP completati, acc=9992459 (x1000)
